1,0.5862,0.33
2,0.5833,0.36
3,0.5806,0.37
4,0.5777,0.40
5,0.5751,0.41
6,0.5725,0.42
7,0.5699,0.42
8,0.5674,0.44
9,0.5649,0.45
10,0.5626,0.50
11,0.5603,0.53
12,0.5577,0.55
13,0.5555,0.59
14,0.5531,0.60
15,0.5508,0.60
16,0.5485,0.62
17,0.5463,0.66
18,0.5439,0.67
19,0.5417,0.70
20,0.5396,0.72
21,0.5373,0.75
22,0.5355,0.75
23,0.5336,0.76
24,0.5319,0.76
25,0.5301,0.77
26,0.5284,0.78
27,0.5267,0.79
28,0.5250,0.79
29,0.5232,0.80
30,0.5217,0.81
31,0.5202,0.81
32,0.5187,0.81
33,0.5172,0.82
34,0.5157,0.82
35,0.5143,0.82
36,0.5130,0.83
37,0.5118,0.84
38,0.5105,0.84
39,0.5093,0.84
40,0.5081,0.84
41,0.5068,0.84
42,0.5058,0.84
43,0.5048,0.85
44,0.5038,0.85
45,0.5028,0.85
46,0.5017,0.85
47,0.5008,0.86
48,0.4998,0.86
49,0.4989,0.86
50,0.4981,0.86
