1,0.5821,0.74
2,0.5752,0.77
3,0.5688,0.79
4,0.5630,0.79
5,0.5573,0.80
6,0.5521,0.80
7,0.5472,0.81
8,0.5426,0.82
9,0.5386,0.82
10,0.5347,0.83
11,0.5313,0.83
12,0.5280,0.84
13,0.5251,0.84
14,0.5221,0.85
15,0.5191,0.86
16,0.5165,0.87
17,0.5139,0.87
18,0.5114,0.87
19,0.5091,0.88
20,0.5071,0.88
21,0.5051,0.88
22,0.5031,0.88
23,0.5011,0.88
24,0.4994,0.88
25,0.4979,0.88
26,0.4963,0.88
27,0.4950,0.88
28,0.4937,0.89
29,0.4924,0.89
30,0.4912,0.89
31,0.4902,0.89
32,0.4891,0.89
33,0.4878,0.89
34,0.4865,0.89
35,0.4853,0.89
36,0.4843,0.90
37,0.4834,0.91
38,0.4825,0.91
39,0.4814,0.91
40,0.4806,0.91
41,0.4797,0.91
42,0.4791,0.91
43,0.4783,0.91
44,0.4774,0.91
45,0.4767,0.91
46,0.4758,0.91
47,0.4750,0.91
48,0.4743,0.91
49,0.4736,0.92
50,0.4730,0.92
51,0.4725,0.92
52,0.4719,0.92
53,0.4713,0.92
54,0.4707,0.92
55,0.4699,0.93
56,0.4694,0.93
57,0.4689,0.93
58,0.4684,0.93
59,0.4679,0.93
60,0.4674,0.93
61,0.4671,0.93
62,0.4667,0.93
63,0.4662,0.93
64,0.4658,0.93
65,0.4655,0.93
66,0.4650,0.93
67,0.4647,0.93
68,0.4646,0.93
69,0.4642,0.93
70,0.4639,0.93
71,0.4635,0.93
72,0.4633,0.93
73,0.4630,0.93
74,0.4626,0.93
75,0.4621,0.93
76,0.4618,0.93
77,0.4616,0.93
78,0.4613,0.93
79,0.4609,0.93
80,0.4606,0.93
